Product Name,Manufacturer,Purchase Amount,Source,URL,Last Purchased Date,Purpose,Manufacturer ID
Seeed Studio XIAO ESP32S3 Sense (Pre-Soldered),Seeed Studio,$24.99,Amazon,https://www.amazon.com/dp/B0DRNW6KMG?ref=ppx_pop_dt_b_product_details&th=1,"Jan 25, 2025","Toilet-mounted control board with camera, mic, and wifi", 102010635
Thin Film Pressure Sensor,Flexniss,$8.74,Amazon,https://www.amazon.com/dp/B07T1CHY58?psc=1&ref=ppx_pop_dt_b_product_details,"Jan 6, 2025",Detection of seated user on toilet,DF9-16
