2025-07-02 22:57:40,385 - INFO - server starting up
2025-07-03 23:24:57,279 - app - INFO - server starting up
2025-07-26 23:12:09,115 - app - INFO - [2025-07-26T23:12:09.115676] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:10,639 - app - INFO - [2025-07-26T23:12:10.639179] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:12,026 - app - INFO - [2025-07-26T23:12:12.026198] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:13,412 - app - INFO - [2025-07-26T23:12:13.412003] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:14,853 - app - INFO - [2025-07-26T23:12:14.853431] FSR: 210231, Voltage: 1.8930, Resistance: 7432.9507, Message: N/A
2025-07-26 23:12:16,372 - app - INFO - [2025-07-26T23:12:16.372573] FSR: 33123, Voltage: 0.7954, Resistance: 31489.3633, Message: N/A
2025-07-26 23:12:18,114 - app - INFO - [2025-07-26T23:12:18.114798] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:19,566 - app - INFO - [2025-07-26T23:12:19.566231] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:21,082 - app - INFO - [2025-07-26T23:12:21.081973] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:22,524 - app - INFO - [2025-07-26T23:12:22.524874] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:23,750 - app - INFO - [2025-07-26T23:12:23.750511] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:24,877 - app - INFO - [2025-07-26T23:12:24.877512] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:26,407 - app - INFO - [2025-07-26T23:12:26.407475] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:27,642 - app - INFO - [2025-07-26T23:12:27.642924] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:28,871 - app - INFO - [2025-07-26T23:12:28.871827] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:30,362 - app - INFO - [2025-07-26T23:12:30.362602] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:31,950 - app - INFO - [2025-07-26T23:12:31.950145] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:33,582 - app - INFO - [2025-07-26T23:12:33.581965] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:35,222 - app - INFO - [2025-07-26T23:12:35.222301] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:36,352 - app - INFO - [2025-07-26T23:12:36.351932] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:37,880 - app - INFO - [2025-07-26T23:12:37.880949] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:39,324 - app - INFO - [2025-07-26T23:12:39.324507] FSR: 213303, Voltage: 2.0525, Resistance: 6077.7388, Message: N/A
2025-07-26 23:12:40,846 - app - INFO - [2025-07-26T23:12:40.846211] FSR: 220102, Voltage: 2.0775, Resistance: 5884.4062, Message: N/A
2025-07-26 23:12:42,291 - app - INFO - [2025-07-26T23:12:42.291792] FSR: 212321, Voltage: 2.0058, Resistance: 6452.3901, Message: N/A
2025-07-26 23:12:43,613 - app - INFO - [2025-07-26T23:12:43.613029] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:45,051 - app - INFO - [2025-07-26T23:12:45.051895] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:46,482 - app - INFO - [2025-07-26T23:12:46.482521] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:48,032 - app - INFO - [2025-07-26T23:12:48.032591] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:49,346 - app - INFO - [2025-07-26T23:12:49.346143] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:50,787 - app - INFO - [2025-07-26T23:12:50.787339] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:52,110 - app - INFO - [2025-07-26T23:12:52.110336] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:53,559 - app - INFO - [2025-07-26T23:12:53.558986] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:54,876 - app - INFO - [2025-07-26T23:12:54.876050] FSR: 13311, Voltage: 0.4037, Resistance: 71736.5234, Message: N/A
2025-07-26 23:12:56,118 - app - INFO - [2025-07-26T23:12:56.118756] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:57,640 - app - INFO - [2025-07-26T23:12:57.640206] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:12:58,886 - app - INFO - [2025-07-26T23:12:58.886463] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:00,310 - app - INFO - [2025-07-26T23:13:00.310054] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:01,634 - app - INFO - [2025-07-26T23:13:01.634405] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:02,874 - app - INFO - [2025-07-26T23:13:02.874817] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:04,398 - app - INFO - [2025-07-26T23:13:04.398165] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:05,948 - app - INFO - [2025-07-26T23:13:05.948388] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:07,368 - app - INFO - [2025-07-26T23:13:07.368171] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:08,717 - app - INFO - [2025-07-26T23:13:08.717415] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:10,133 - app - INFO - [2025-07-26T23:13:10.133398] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:11,392 - app - INFO - [2025-07-26T23:13:11.392074] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:12,725 - app - INFO - [2025-07-26T23:13:12.725734] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:13,837 - app - INFO - [2025-07-26T23:13:13.837805] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:15,355 - app - INFO - [2025-07-26T23:13:15.355588] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:16,796 - app - INFO - [2025-07-26T23:13:16.796046] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:17,839 - app - INFO - [2025-07-26T23:13:17.839042] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:19,083 - app - INFO - [2025-07-26T23:13:19.083511] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:20,482 - app - INFO - [2025-07-26T23:13:20.482873] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:23,138 - app - INFO - [2025-07-26T23:13:23.138674] FSR: N/A, Voltage: N/A, Resistance: N/A, Message: Wi-Fi connected and ready
2025-07-26 23:13:24,694 - app - INFO - [2025-07-26T23:13:24.694499] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:25,910 - app - INFO - [2025-07-26T23:13:25.910604] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:27,157 - app - INFO - [2025-07-26T23:13:27.157432] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:28,465 - app - INFO - [2025-07-26T23:13:28.465209] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:29,809 - app - INFO - [2025-07-26T23:13:29.809839] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:31,027 - app - INFO - [2025-07-26T23:13:31.027129] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:32,258 - app - INFO - [2025-07-26T23:13:32.257972] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:33,370 - app - INFO - [2025-07-26T23:13:33.370006] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:34,647 - app - INFO - [2025-07-26T23:13:34.647758] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
